wsid,wsnm,elvt,lat,lon,inme
178,SÃƒO GONÃ‡ALO,237,-6.835777,-38.311583,A333
303,VITÃ“RIA,9,-20.271094,-40.306069,A612
304,SANTA TERESA,976,-19.988388,-40.579572,A613
305,LINHARES,38,-19.356923,-40.06868,A614
306,ALFREDO CHAVES,14,-20.636526,-40.741818,A615
307,SÃƒO MATEUS,29,-18.676198,-39.864051,A616
308,ALEGRE,129,-20.750412,-41.488852,A617
309,PRES. KENNEDY,69,-21.100805,-41.039395,A622
310,NOVA VENECIA,156,-18.695265,-40.390572,A623
311,AFONSO CLAUDIO,507,-20.104194,-41.106861,A657
312,BARBACENA,1169,-21.228373,-43.767703,A502
313,ARAXÃ,1018,-19.605696,-46.949617,A505
314,MONTES CLAROS,646,-16.686316,-43.843763,A506
